Date,Predicted_Min_Range,Predicted_Max_Range,Predicted_Avg
2026-02-12,285.8 - 333.9,334.9 - 434.8,360.01
2026-02-13,282.5 - 332.8,333.8 - 433.7,357.82
2026-02-14,275.3 - 326.0,327.0 - 426.9,350.77
2026-02-15,273.5 - 325.5,326.5 - 426.4,349.66
2026-02-16,272.7 - 325.0,326.0 - 425.9,349.0
2026-02-17,272.1 - 324.5,325.5 - 425.4,348.46
2026-02-18,271.9 - 324.4,325.4 - 425.3,348.3
2026-02-19,271.8 - 324.4,325.4 - 425.3,348.22
2026-02-20,271.7 - 324.3,325.3 - 425.2,348.18
2026-02-21,271.7 - 324.3,325.3 - 425.2,348.16
2026-02-22,271.7 - 324.3,325.3 - 425.2,348.16
2026-02-23,271.7 - 324.3,325.3 - 425.2,348.16
2026-02-24,271.7 - 324.3,325.3 - 425.2,348.16
2026-02-25,271.7 - 324.3,325.3 - 425.2,348.16
2026-02-26,271.7 - 324.3,325.3 - 425.2,348.17
2026-02-27,271.7 - 324.4,325.4 - 425.3,348.17
2026-02-28,271.7 - 324.4,325.4 - 425.3,348.17
2026-03-01,271.7 - 324.4,325.4 - 425.3,348.18
2026-03-02,271.7 - 324.4,325.4 - 425.3,348.18
2026-03-03,271.7 - 324.4,325.4 - 425.3,348.18
2026-03-04,271.7 - 324.4,325.4 - 425.3,348.19
2026-03-05,271.7 - 324.4,325.4 - 425.3,348.19
2026-03-06,271.7 - 324.4,325.4 - 425.3,348.19
2026-03-07,271.7 - 324.4,325.4 - 425.3,348.19
2026-03-08,271.7 - 324.4,325.4 - 425.3,348.2
2026-03-09,271.7 - 324.4,325.4 - 425.3,348.2
2026-03-10,271.7 - 324.4,325.4 - 425.3,348.2
2026-03-11,271.7 - 324.4,325.4 - 425.3,348.2
2026-03-12,271.7 - 324.4,325.4 - 425.3,348.2
2026-03-13,271.7 - 324.4,325.4 - 425.3,348.21
