Date,Predicted_Min_Range,Predicted_Max_Range,Predicted_Avg
2026-02-12,135.5 - 188.4,189.4 - 254.1,194.18
2026-02-13,150.8 - 204.4,205.4 - 270.1,209.84
2026-02-14,154.3 - 199.8,200.8 - 265.5,209.27
2026-02-15,155.0 - 198.7,199.7 - 264.4,209.1
2026-02-16,157.9 - 199.6,200.6 - 265.3,211.0
2026-02-17,161.8 - 203.1,204.1 - 268.8,214.68
2026-02-18,165.4 - 206.5,207.5 - 272.2,218.19
2026-02-19,169.1 - 210.6,211.6 - 276.3,222.05
2026-02-20,172.8 - 214.9,215.9 - 280.6,226.05
2026-02-21,176.4 - 219.4,220.4 - 285.1,230.16
2026-02-22,180.0 - 224.0,225.0 - 289.7,234.23
2026-02-23,183.6 - 228.5,229.5 - 294.2,238.28
2026-02-24,187.0 - 233.0,234.0 - 298.7,242.25
2026-02-25,190.4 - 237.4,238.4 - 303.1,246.13
2026-02-26,193.6 - 241.7,242.7 - 307.5,249.91
2026-02-27,196.7 - 246.0,247.0 - 311.7,253.58
2026-02-28,199.8 - 250.0,251.0 - 315.7,257.15
2026-03-01,202.7 - 254.0,255.0 - 319.7,260.6
2026-03-02,205.6 - 257.8,258.8 - 323.5,263.94
2026-03-03,208.3 - 261.6,262.6 - 327.3,267.17
2026-03-04,211.0 - 265.1,266.1 - 330.8,270.29
2026-03-05,213.5 - 268.6,269.6 - 334.3,273.31
2026-03-06,216.0 - 272.0,273.0 - 337.7,276.22
2026-03-07,218.4 - 275.2,276.2 - 340.9,279.03
2026-03-08,220.7 - 278.3,279.3 - 344.0,281.75
2026-03-09,222.9 - 281.3,282.3 - 347.1,284.37
2026-03-10,225.1 - 284.3,285.3 - 350.0,286.9
2026-03-11,227.2 - 287.1,288.1 - 352.8,289.35
2026-03-12,229.2 - 289.8,290.8 - 355.5,291.71
2026-03-13,231.1 - 293.3,293.4 - 358.1,293.98
