Date,Predicted_Min_Range,Predicted_Max_Range,Predicted_Avg
2026-02-12,231.1 - 253.0,254.0 - 304.8,266.99
2026-02-13,227.4 - 249.4,250.4 - 301.2,263.29
2026-02-14,223.9 - 245.8,246.8 - 297.7,259.8
2026-02-15,221.1 - 243.4,244.4 - 295.2,257.2
2026-02-16,218.4 - 240.6,241.6 - 292.4,254.46
2026-02-17,215.8 - 237.9,238.9 - 289.7,251.8
2026-02-18,213.3 - 235.3,236.3 - 287.1,249.27
2026-02-19,210.9 - 232.8,233.8 - 284.6,246.78
2026-02-20,208.5 - 230.3,231.3 - 282.1,244.34
2026-02-21,206.2 - 227.8,228.8 - 279.7,241.96
2026-02-22,203.9 - 225.5,226.5 - 277.3,239.62
2026-02-23,201.7 - 223.1,224.1 - 274.9,237.34
2026-02-24,199.5 - 220.8,221.8 - 272.7,235.1
2026-02-25,197.4 - 218.6,219.6 - 270.4,232.91
2026-02-26,195.3 - 216.4,217.4 - 268.2,230.77
2026-02-27,193.2 - 214.3,215.3 - 266.1,228.67
2026-02-28,191.2 - 212.2,213.2 - 264.0,226.62
2026-03-01,189.2 - 210.1,211.1 - 261.9,224.61
2026-03-02,187.3 - 208.1,209.1 - 259.9,222.64
2026-03-03,185.4 - 206.1,207.1 - 257.9,220.71
2026-03-04,183.6 - 204.2,205.2 - 256.0,218.83
2026-03-05,181.8 - 202.3,203.3 - 254.1,216.98
2026-03-06,180.0 - 200.4,201.4 - 252.3,215.18
2026-03-07,178.3 - 198.6,199.6 - 250.5,213.41
2026-03-08,176.6 - 196.9,197.9 - 248.7,211.67
2026-03-09,174.9 - 195.1,196.1 - 247.0,209.98
2026-03-10,173.3 - 193.4,194.4 - 245.3,208.32
2026-03-11,171.7 - 191.8,192.8 - 243.6,206.69
2026-03-12,170.2 - 190.1,191.1 - 242.0,205.1
2026-03-13,168.7 - 188.6,189.6 - 240.4,203.55
