Date,Predicted_Min_Range,Predicted_Max_Range,Predicted_Avg
2026-02-12,209.4 - 240.2,241.2 - 313.7,260.15
2026-02-13,210.4 - 239.9,240.9 - 313.4,260.49
2026-02-14,210.2 - 238.9,239.9 - 312.5,259.92
2026-02-15,210.0 - 239.0,240.0 - 312.6,259.88
2026-02-16,209.7 - 238.6,239.6 - 312.1,259.5
2026-02-17,209.3 - 238.1,239.1 - 311.6,259.05
2026-02-18,208.9 - 237.7,238.7 - 311.2,258.66
2026-02-19,208.5 - 237.2,238.2 - 310.8,258.26
2026-02-20,208.2 - 236.8,237.8 - 310.4,257.86
2026-02-21,207.8 - 236.4,237.4 - 310.0,257.48
2026-02-22,207.4 - 236.0,237.0 - 309.6,257.11
2026-02-23,207.1 - 235.7,236.7 - 309.2,256.75
2026-02-24,206.8 - 235.3,236.3 - 308.9,256.4
2026-02-25,206.4 - 234.9,235.9 - 308.5,256.06
2026-02-26,206.1 - 234.6,235.6 - 308.2,255.73
2026-02-27,205.8 - 234.3,235.3 - 307.8,255.42
2026-02-28,205.5 - 234.0,235.0 - 307.5,255.11
2026-03-01,205.2 - 233.6,234.6 - 307.2,254.81
2026-03-02,205.0 - 233.3,234.3 - 306.9,254.53
2026-03-03,204.7 - 233.1,234.1 - 306.6,254.25
2026-03-04,204.5 - 232.8,233.8 - 306.4,253.98
2026-03-05,204.2 - 232.5,233.5 - 306.1,253.72
2026-03-06,204.0 - 232.2,233.2 - 305.8,253.47
2026-03-07,203.7 - 232.0,233.0 - 305.6,253.23
2026-03-08,203.5 - 231.7,232.7 - 305.3,252.99
2026-03-09,203.3 - 231.5,232.5 - 305.1,252.77
2026-03-10,203.1 - 231.3,232.3 - 304.9,252.55
2026-03-11,202.9 - 231.1,232.1 - 304.6,252.33
2026-03-12,202.7 - 230.8,231.8 - 304.4,252.13
2026-03-13,202.5 - 230.6,231.6 - 304.2,251.93
