epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.915,1.3771,2.25774,1.21837,0.81111,0.63906,0.74542,0.44923,1.33329,1.97947,1.08651,0.0005,0.0005,0.0005
2,246.846,1.35941,1.31391,1.16683,0.7975,0.70387,0.76154,0.47111,1.31652,1.53861,1.10937,0.00096951,0.00096951,0.00096951
3,361.33,1.29985,1.17101,1.15201,0.78424,0.73611,0.79105,0.50112,1.28941,1.24802,1.11321,0.00138754,0.00138754,0.00138754
4,475.268,1.28909,1.15315,1.11423,0.74662,0.77003,0.7987,0.50102,1.27452,1.19824,1.12442,0.001703,0.001703,0.001703
5,588.257,1.24649,1.05794,1.11591,0.81222,0.80738,0.87197,0.57039,1.1989,1.03021,1.07777,0.001604,0.001604,0.001604
6,703.452,1.25591,1.02821,1.11056,0.82261,0.78443,0.86457,0.58197,1.1559,1.00022,1.05546,0.001505,0.001505,0.001505
7,817.638,1.21465,0.98504,1.08261,0.84505,0.80648,0.88643,0.60778,1.11237,0.93165,1.04843,0.001406,0.001406,0.001406
8,932.435,1.18128,0.95819,1.09187,0.84621,0.83453,0.90277,0.60815,1.13926,0.90133,1.05199,0.001307,0.001307,0.001307
9,1048.9,1.17994,0.94194,1.07336,0.85118,0.84432,0.91613,0.63423,1.08491,0.84184,1.03196,0.001208,0.001208,0.001208
10,1162.75,1.19181,0.90824,1.07135,0.86294,0.84158,0.91486,0.63067,1.0818,0.83441,1.02875,0.001109,0.001109,0.001109
11,1272.6,1.13896,1.01517,1.06755,0.85284,0.83978,0.90776,0.63899,1.0711,0.90127,1.01773,0.00101,0.00101,0.00101
12,1382.18,1.10975,0.95018,1.05126,0.84032,0.84203,0.90794,0.63894,1.04232,0.83399,1.01543,0.000911,0.000911,0.000911
13,1492.11,1.08717,0.88588,1.04198,0.82958,0.87084,0.91765,0.64856,1.03188,0.83056,0.99942,0.000812,0.000812,0.000812
14,1602.17,1.07439,0.84912,1.03282,0.85599,0.84968,0.91922,0.64426,1.05541,0.77812,1.00239,0.000713,0.000713,0.000713
15,1716.61,1.0633,0.82719,1.02103,0.85986,0.86984,0.93255,0.66388,1.01026,0.74976,0.99057,0.000614,0.000614,0.000614
16,1827.05,1.06839,0.79863,1.01875,0.86475,0.86904,0.93377,0.67047,1.01484,0.75255,0.98888,0.000515,0.000515,0.000515
17,1937.07,1.04821,0.79965,1.01433,0.8565,0.87984,0.93749,0.6697,1.00655,0.72333,0.98583,0.000416,0.000416,0.000416
18,2045.19,1.03432,0.7707,1.00435,0.86985,0.86409,0.94037,0.6732,0.99935,0.70488,0.98409,0.000317,0.000317,0.000317
19,2151.96,1.00559,0.75615,0.99405,0.85887,0.88461,0.94117,0.676,0.97822,0.7005,0.97984,0.000218,0.000218,0.000218
20,2259.53,1.00946,0.74714,1.00225,0.86339,0.88178,0.94122,0.67939,0.97039,0.69186,0.97521,0.000119,0.000119,0.000119
