epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5565.7,1.43668,2.58799,1.22835,0.86815,0.19241,0.3194,0.20755,1.26041,2.56544,1.09903,0.000462724,0.000462724,0.000462724
2,6795.2,1.2465,1.35793,1.10609,0.52839,0.4594,0.49836,0.30634,1.29518,1.64711,1.15636,0.000920464,0.000920464,0.000920464
3,7559.47,1.18265,1.20444,1.08941,0.8144,0.44754,0.48601,0.32482,1.19123,1.46645,1.08169,0.00135934,0.00135934,0.00135934
4,9994.84,1.12706,1.13155,1.06624,0.55424,0.51982,0.53663,0.38589,1.06688,1.13866,1.02906,0.00134412,0.00134412,0.00134412
5,14033.9,1.10977,1.06217,1.06223,0.86464,0.49862,0.5556,0.39304,1.08957,1.08327,1.05075,0.00131582,0.00131582,0.00131582
6,14494.7,1.08257,1.02475,1.05182,0.83645,0.49728,0.54864,0.39043,1.04615,1.09107,1.0356,0.00128753,0.00128753,0.00128753
7,15149.7,1.12724,1.04446,1.05736,0.70172,0.60296,0.6361,0.44039,1.06854,0.96431,1.03517,0.00125923,0.00125923,0.00125923
8,15760.1,1.0909,0.95151,1.05149,0.62692,0.64186,0.6679,0.46739,1.01455,0.89306,1.01341,0.00123094,0.00123094,0.00123094
9,16193.5,1.06436,0.90587,1.02867,0.61694,0.64378,0.66873,0.47989,1.00336,0.88103,1.00338,0.00120265,0.00120265,0.00120265
10,16633.2,1.09378,0.91513,1.03874,0.63394,0.65351,0.65824,0.44868,1.04357,0.98856,1.02382,0.00117435,0.00117435,0.00117435
11,17063.5,1.03411,0.89191,1.02978,0.80954,0.67078,0.75406,0.52829,0.98814,0.83312,1.00653,0.00114606,0.00114606,0.00114606
12,17495.2,1.03656,0.87545,1.02792,0.76942,0.70397,0.76922,0.53985,0.97601,0.80888,0.99522,0.00111776,0.00111776,0.00111776
13,17923.2,1.01737,0.84599,1.02205,0.82072,0.68924,0.77899,0.54735,0.98725,0.77336,1.00914,0.00108947,0.00108947,0.00108947
14,18989.9,1.0527,0.85199,1.02517,0.75433,0.67287,0.72104,0.48295,1.0789,0.84988,1.05716,0.00106118,0.00106118,0.00106118
